method,wm_poly_fsa_raw,wm_poly_fsa_norm,wm_poly_pda,wm_poly_cer,wm_poly_ms,wm_bbox_fsa_raw,wm_bbox_fsa_norm,wm_bbox_pda,wm_bbox_cer,wm_bbox_ms,run_date
pretrained_easyocr,0.0,0.0,0.05086668011133252,2.45632798573975,185.44653930458836,0.0,0.0,0.05000773993578334,2.7016488413547237,186.8259663103982,2026-04-16 18:08
pretrained_easyocr,0.0,0.0,0.05086668011133252,2.45632798573975,181.76182406420014,0.0,0.0,0.05000773993578334,2.7016488413547237,192.1911868985408,2026-04-16 18:12
pretrained_easyocr_gray_clahe,0.00267379679144385,0.0053475935828877,0.05542279166256832,2.514483065953654,171.07405508011624,0.0053475935828877,0.008021390374331552,0.04705164858908174,2.736185383244207,182.26785748639207,2026-04-16 18:24
pretrained_easyocr_gray_clahe,0.00267379679144385,0.0053475935828877,0.05542279166256832,2.514483065953654,173.31273502684704,0.0053475935828877,0.008021390374331552,0.04705164858908174,2.736185383244207,193.40068181860104,2026-04-16 18:30
pretrained_easyocr_gray_clahe,0.0,0.00267379679144385,0.05158110082221438,2.534090909090909,179.8483962569769,0.00267379679144385,0.00267379679144385,0.04781529002785687,2.796345811051693,191.66313155083748,2026-04-16 20:10
pretrained_easyocr_gray_clahe,0.0,0.00267379679144385,0.05158110082221438,2.534090909090909,170.95065534786872,0.00267379679144385,0.00267379679144385,0.04781529002785687,2.796345811051693,186.0540807489175,2026-04-16 20:21
pretrained_easyocr_gray_clahe,0.0,0.00267379679144385,0.05158110082221438,2.534090909090909,176.8519799465489,0.00267379679144385,0.00267379679144385,0.04781529002785687,2.796345811051693,194.1199302138732,2026-04-16 20:27
pretrained_easyocr_gray_clahe,0.00267379679144385,0.0213903743315508,0.07260740661770859,1.080201171377642,170.3603248660363,0.0,0.016042780748663103,0.0665764862053003,1.1833078686019862,188.0740831554108,2026-04-16 20:43
pretrained_easyocr_gray_clahe,0.00267379679144385,0.0213903743315508,0.07573317205670146,0.9967723453017571,175.41379518739234,0.0,0.01871657754010695,0.06995373907138612,1.0499554367201427,209.93768235243343,2026-04-16 21:56
pretrained_easyocr_gray_clahe,0.00267379679144385,0.0213903743315508,0.07573317205670146,0.9967723453017571,212.98544331550858,0.0,0.01871657754010695,0.06995373907138612,1.0499554367201427,229.5658064169285,2026-04-16 22:16
pretrained_ultralytics_yolo11m_baseline,0.008021390374331552,0.6122994652406417,0.07490875137933961,0.5433791698497581,23.940370587773998,0.00267379679144385,0.7406417112299465,0.06244800950683303,0.5095556404379934,24.12963636377627,2026-04-16 22:16
pretrained_easyocr_gray_clahe,0.00267379679144385,0.0213903743315508,0.07573317205670146,0.9967723453017571,195.82425507966317,0.0,0.01871657754010695,0.06995373907138612,1.0499554367201427,215.35641764699795,2026-04-16 22:20
pretrained_ultralytics_yolo11m_baseline,0.008021390374331552,0.6122994652406417,0.07490875137933961,0.5433791698497581,28.225425400778672,0.00267379679144385,0.7406417112299465,0.06244800950683303,0.5095556404379934,28.01213288770143,2026-04-16 22:20
pretrained_easyocr_gray_clahe,0.00267379679144385,0.0213903743315508,0.07573317205670146,0.9967723453017571,186.2459061496124,0.0,0.01871657754010695,0.06995373907138612,1.0499554367201427,218.76694839555904,2026-04-16 22:43
pretrained_ultralytics_yolo11m_baseline,0.008021390374331552,0.6122994652406417,0.07528011204481792,0.5429335370511841,26.619168984033553,0.00267379679144385,0.7540106951871658,0.06182200152788388,0.502782021899669,25.883533690018297,2026-04-16 22:43
pretrained_ultralytics_yolo11m_baseline,0.008021390374331552,0.6336898395721925,0.07528011204481792,0.5382989559460147,26.28680267273187,0.00267379679144385,0.7700534759358288,0.06229946524064171,0.5028265851795264,27.092134225089477,2026-04-16 22:53
pretrained_ultralytics_yolo11m_baseline,0.0106951871657754,0.6631016042780749,0.07571619556913675,0.5071046600458364,28.183276470664037,0.00267379679144385,0.767379679144385,0.06524912995501231,0.4959256429844665,27.13868476023691,2026-04-16 23:12
pretrained_ultralytics_yolo11m_baseline,0.0106951871657754,0.6898395721925134,0.07569391392920805,0.4964094728800611,36.27024598914276,0.00267379679144385,0.8074866310160428,0.06435574229691877,0.4783677107206519,33.91416818164986,2026-04-16 23:38
pretrained_ultralytics_yolo11m_baseline,0.0106951871657754,0.6898395721925134,0.07569391392920805,0.4964094728800611,36.717590641847906,0.00267379679144385,0.8074866310160428,0.06435574229691877,0.4783677107206519,35.798199732310415,2026-04-16 23:58
pretrained_ultralytics_yolo11m_baseline,0.0106951871657754,0.6898395721925134,0.07569391392920805,0.4964094728800611,35.79746123000526,0.00267379679144385,0.8074866310160428,0.06435574229691877,0.4783677107206519,36.3315457220122,2026-04-17 00:07
pretrained_ultralytics_yolo11m_baseline,0.0106951871657754,0.6898395721925134,0.07569391392920805,0.4964094728800611,40.47114224740264,0.00267379679144385,0.8074866310160428,0.06435574229691877,0.4783677107206519,41.06986069619745,2026-04-17 00:20
pretrained_ultralytics_yolo11m_baseline,0.0106951871657754,0.6898395721925134,0.07569391392920805,0.4964094728800611,37.4109545457401,0.0,0.8074866310160428,0.06313343519225872,0.4799274255156608,37.34769278063058,2026-04-17 00:52
pretrained_ultralytics_yolo11m_baseline,0.0106951871657754,0.7486631016042781,0.07598357524828113,0.47553475935828876,36.28305748480442,0.0,0.8716577540106952,0.06199707155589509,0.4603004838298956,34.508040373043634,2026-04-17 01:35
