candidate,split,crop_key,compare_mode,preprocess_mode,wlev_weight_base,samples,fsa_raw,fsa_norm,pda_mean,cer_mean,wlev_norm_mean,avg_ms,median_ms,p95_ms,non_empty_rate,selected_180_share,errors_saved,failure_dir
pytesseract,all,wm_polygon,normalized,gray_clahe,2.0,1244,0.0008038585209003215,0.011254019292604502,0.05116017200020415,0.9215491502067065,0.760420250338596,392.4965668810424,391.89579999947455,511.67167500007054,0.4903536977491961,0.06109324758842444,1230,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures\pytesseract\gray_clahe\all\wm_polygon
pytesseract,all,wm_bbox,normalized,gray_clahe,2.0,1244,0.002411575562700965,0.006430868167202572,0.029217386311437762,0.9383880722707088,0.8567568078401858,426.79937652734236,446.01479999982985,561.1627200005387,0.2853697749196141,0.05144694533762058,1236,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures\pytesseract\gray_clahe\all\wm_bbox
pytesseract,test,wm_bbox,normalized,gray_clahe,2.0,374,0.00267379679144385,0.008021390374331552,0.025436083524318816,0.9375286478227655,0.8627332505070733,417.80861042782476,441.46490000002814,517.6402850000159,0.28609625668449196,0.05080213903743316,371,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures\pytesseract\gray_clahe\test\wm_bbox
pytesseract,test,wm_polygon,normalized,gray_clahe,2.0,374,0.0,0.008021390374331552,0.045835455394278926,0.9152979373567608,0.7962460393679351,388.738559892991,405.0533500003439,504.74326500007,0.4572192513368984,0.06417112299465241,371,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures\pytesseract\gray_clahe\test\wm_polygon
pytesseract,train,wm_polygon,normalized,gray_clahe,2.0,870,0.0011494252873563218,0.01264367816091954,0.05344918810436052,0.9242364532019705,0.7450192789627649,417.5675609195099,417.5932499992996,574.7638999997434,0.5045977011494253,0.059770114942528735,859,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures\pytesseract\gray_clahe\train\wm_polygon
pytesseract,train,wm_bbox,normalized,gray_clahe,2.0,870,0.0022988505747126436,0.005747126436781609,0.03084291187739463,0.9387575259989053,0.854187624440857,434.44001528732775,452.62205000017275,547.8302399990753,0.2850574712643678,0.05172413793103448,865,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures\pytesseract\gray_clahe\train\wm_bbox
ultralytics_yolo11m_baseline,all,wm_bbox,normalized,none,2.0,1244,0.003215434083601286,0.8593247588424437,0.06667400347062727,0.4693519369162456,0.031846585400717116,41.491947347266496,40.136749998055166,52.80444499840086,0.9983922829581994,0.06832797427652733,175,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures\ultralytics_yolo11m_baseline\none\all\wm_bbox
ultralytics_yolo11m_baseline,all,wm_polygon,normalized,none,2.0,1244,0.007234726688102894,0.729903536977492,0.07496650589496248,0.4890723089879038,0.05851041394800177,43.44765747588403,41.8136999996932,55.85438999914912,0.997588424437299,0.07154340836012862,336,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures\ultralytics_yolo11m_baseline\none\all\wm_polygon
ultralytics_yolo11m_baseline,test,wm_bbox,normalized,none,2.0,374,0.0,0.8770053475935828,0.06199707155589509,0.4594092182327476,0.022547682988596177,41.35128796794323,39.509199999884004,51.42721500069452,0.9973262032085561,0.06149732620320856,46,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures\ultralytics_yolo11m_baseline\none\test\wm_bbox
ultralytics_yolo11m_baseline,test,wm_polygon,normalized,none,2.0,374,0.0106951871657754,0.7513368983957219,0.0764292080468551,0.4755347593582888,0.04981679495057587,39.75541631023754,39.0922499991575,47.652725000079954,0.9973262032085561,0.06951871657754011,93,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures\ultralytics_yolo11m_baseline\none\test\wm_polygon
ultralytics_yolo11m_baseline,train,wm_bbox,normalized,none,2.0,870,0.004597701149425287,0.8517241379310345,0.0686845466155811,0.47362616310892164,0.0358440445985714,39.007567816044954,38.60680000070715,47.07197499828908,0.9988505747126437,0.07126436781609195,129,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures\ultralytics_yolo11m_baseline\none\train\wm_bbox
ultralytics_yolo11m_baseline,train,wm_polygon,normalized,none,2.0,870,0.005747126436781609,0.7206896551724138,0.07433771209633279,0.494891899288451,0.06224767085034347,41.648624252846425,40.19640000115032,52.342980000139505,0.9977011494252873,0.07241379310344828,243,C:\Users\alike\WaterMeterCV\results\ocr_pretrained_failures\ultralytics_yolo11m_baseline\none\train\wm_polygon
