source,split,crop_key,fsa_norm_base,fsa_raw_base,wlev_norm_mean_base,cer_mean_base,avg_ms_base,non_empty_rate_base,selected_180_share_base,fsa_norm_yolo,fsa_raw_yolo,wlev_norm_mean_yolo,cer_mean_yolo,avg_ms_yolo,non_empty_rate_yolo,selected_180_share_yolo,delta_fsa_norm,delta_fsa_raw,delta_wlev_norm_mean,delta_cer_mean,delta_avg_ms,delta_non_empty_rate,delta_selected_180_share,degrade
combo,all,wm_bbox,0.8593247588424437,0.0032154340836012,0.0318465854007171,0.4693519369162456,41.491947347266496,0.9983922829581994,0.0683279742765273,0.8593247588424437,0.0032154340836012,0.0318465854007171,0.4693519369162456,33.32185281354556,0.9983922829581994,0.0683279742765273,0.0,0.0,0.0,0.0,-8.170094533720935,0.0,0.0,False
combo,all,wm_polygon,0.729903536977492,0.0072347266881028,0.0585104139480017,0.4890723089879038,43.44765747588403,0.997588424437299,0.0715434083601286,0.729903536977492,0.0072347266881028,0.0585104139480017,0.4890723089879038,33.85265691317829,0.997588424437299,0.0715434083601286,0.0,0.0,0.0,0.0,-9.595000562705735,0.0,0.0,False
combo,test,wm_bbox,0.8770053475935828,0.0,0.0225476829885961,0.4594092182327476,41.35128796794323,0.997326203208556,0.0614973262032085,0.8770053475935828,0.0,0.0225476829885961,0.4594092182327476,33.94649973262936,0.997326203208556,0.0614973262032085,0.0,0.0,0.0,0.0,-7.404788235313866,0.0,0.0,False
combo,test,wm_polygon,0.7513368983957219,0.0106951871657754,0.0498167949505758,0.4755347593582888,39.75541631023754,0.997326203208556,0.0695187165775401,0.7513368983957219,0.0106951871657754,0.0498167949505758,0.4755347593582888,34.03429518718007,0.997326203208556,0.0695187165775401,0.0,0.0,0.0,0.0,-5.721121123057472,0.0,0.0,False
combo,train,wm_bbox,0.8517241379310345,0.0045977011494252,0.0358440445985714,0.4736261631089216,39.00756781604496,0.9988505747126436,0.0712643678160919,0.8517241379310345,0.0045977011494252,0.0358440445985714,0.4736261631089216,33.02066643676692,0.9988505747126436,0.0712643678160919,0.0,0.0,0.0,0.0,-5.986901379278038,0.0,0.0,False
combo,train,wm_polygon,0.7206896551724138,0.0057471264367816,0.0622476708503434,0.494891899288451,41.648624252846425,0.9977011494252872,0.0724137931034482,0.7206896551724138,0.0057471264367816,0.0622476708503434,0.494891899288451,36.36155264360021,0.9977011494252872,0.0724137931034482,0.0,0.0,0.0,0.0,-5.287071609246212,0.0,0.0,False
pilot,all,wm_bbox,0.8593247588424437,0.003215434083601286,0.031846585400717116,0.4693519369162456,43.47283794212908,0.9983922829581994,0.06832797427652733,0.8593247588424437,0.003215434083601286,0.031846585400717116,0.4693519369162456,33.52080361735868,0.9983922829581994,0.06832797427652733,0.0,0.0,0.0,0.0,-9.952034324770402,0.0,0.0,False
pilot,all,wm_polygon,0.729903536977492,0.007234726688102894,0.05851041394800177,0.4890723089879038,43.65326921219345,0.997588424437299,0.07154340836012862,0.729903536977492,0.007234726688102894,0.05851041394800177,0.4890723089879038,34.003160691251836,0.997588424437299,0.07154340836012862,0.0,0.0,0.0,0.0,-9.650108520941615,0.0,0.0,False
pilot,test,wm_bbox,0.8770053475935828,0.0,0.022547682988596177,0.4594092182327476,43.85506871659116,0.9973262032085561,0.06149732620320856,0.8770053475935828,0.0,0.022547682988596177,0.4594092182327476,35.97331390382142,0.9973262032085561,0.06149732620320856,0.0,0.0,0.0,0.0,-7.881754812769742,0.0,0.0,False
pilot,test,wm_polygon,0.7513368983957219,0.0106951871657754,0.04981679495057587,0.47553475935828876,45.26786203207746,0.9973262032085561,0.06951871657754011,0.7513368983957219,0.0106951871657754,0.04981679495057587,0.47553475935828876,37.35167620311221,0.9973262032085561,0.06951871657754011,0.0,0.0,0.0,0.0,-7.916185828965247,0.0,0.0,False
pilot,train,wm_bbox,0.8517241379310345,0.004597701149425287,0.0358440445985714,0.47362616310892175,42.19668563219711,0.9988505747126437,0.07126436781609195,0.8517241379310345,0.004597701149425287,0.0358440445985714,0.47362616310892175,36.571023793114634,0.9988505747126437,0.07126436781609195,0.0,0.0,0.0,0.0,-5.6256618390824755,0.0,0.0,False
pilot,train,wm_polygon,0.7206896551724138,0.005747126436781609,0.06224767085034347,0.494891899288451,40.865482068944274,0.9977011494252873,0.07241379310344828,0.7206896551724138,0.005747126436781609,0.06224767085034347,0.494891899288451,36.22764367824731,0.9977011494252873,0.07241379310344828,0.0,0.0,0.0,0.0,-4.637838390696963,0.0,0.0,False
